"it" "im" "dep" "meth" "out"
"184" 2 12 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"185" 2 12 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"186" 2 12 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"187" 2 12 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"188" 2 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"189" 2 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"190" 2 12 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"191" 2 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"192" 2 13 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"193" 2 13 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"194" 2 13 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"195" 2 13 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"196" 2 13 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"197" 2 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"198" 2 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"199" 2 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"200" 2 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"201" 2 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"202" 2 14 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"203" 2 14 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"204" 2 14 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"205" 2 14 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"206" 2 14 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"207" 2 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"208" 2 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"209" 2 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"210" 2 14 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"211" 2 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"212" 2 15 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"213" 2 15 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"214" 2 15 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"215" 2 15 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
