"it" "im" "dep" "meth" "out"
"100" 2 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"101" 2 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"102" 2 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"103" 2 2 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"104" 2 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"105" 2 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"106" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"107" 2 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"108" 2 2 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"109" 2 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"110" 2 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"111" 2 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"112" 2 2 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"113" 2 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"114" 2 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"115" 2 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"116" 2 3 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"117" 2 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"118" 2 3 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"119" 2 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"120" 2 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"121" 2 3 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"122" 2 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"123" 2 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"124" 2 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"125" 2 3 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"126" 2 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"127" 2 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"128" 2 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"129" 2 4 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"130" 2 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"131" 2 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"132" 2 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"133" 2 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"134" 2 4 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"135" 2 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"136" 2 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"137" 2 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"138" 2 4 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
