"it" "im" "dep" "meth" "out"
"102" 2 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"103" 2 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"104" 2 2 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"105" 2 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"106" 2 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"107" 2 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"108" 2 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"109" 2 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"110" 2 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"111" 2 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"112" 2 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"113" 2 3 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"114" 2 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"115" 2 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"116" 2 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"117" 2 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"118" 2 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"119" 2 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"120" 2 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"121" 2 4 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"122" 2 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"123" 2 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"124" 2 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"125" 2 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"126" 2 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"127" 2 5 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"128" 2 5 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"129" 2 5 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"130" 2 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"131" 2 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"132" 2 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"133" 2 6 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"134" 2 6 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"135" 2 6 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"136" 2 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"137" 2 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"138" 2 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"139" 2 7 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"140" 2 7 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"141" 2 7 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"142" 2 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"143" 2 7 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"144" 2 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"145" 2 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"146" 2 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"147" 2 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"148" 2 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"149" 2 8 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"150" 2 8 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"151" 2 8 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"152" 2 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"153" 2 8 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"154" 2 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"155" 2 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"156" 2 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"157" 2 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"158" 2 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"159" 2 9 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"160" 2 9 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"161" 2 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"162" 2 9 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"163" 2 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
