"it" "im" "dep" "meth" "out"
"127" 2 3 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"128" 2 3 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"129" 2 3 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"130" 2 3 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"131" 2 3 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"132" 2 4 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"133" 2 4 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"134" 2 4 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"135" 2 4 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"136" 2 4 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"137" 2 4 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"138" 2 4 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"139" 2 4 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"140" 2 4 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"141" 2 4 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"142" 2 5 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"143" 2 5 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"144" 2 5 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"145" 2 5 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"146" 2 5 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"147" 2 5 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"148" 2 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"149" 2 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"150" 2 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"151" 2 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"152" 2 6 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"153" 2 6 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"154" 2 6 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"155" 2 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"156" 2 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"157" 2 6 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"158" 2 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"159" 2 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"160" 2 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"161" 2 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"162" 2 7 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"163" 2 7 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"164" 2 7 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"165" 2 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"166" 2 7 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"167" 2 7 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"168" 2 7 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"169" 2 7 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"170" 2 7 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"171" 2 7 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"172" 2 8 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"173" 2 8 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"174" 2 8 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"175" 2 8 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"176" 2 8 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"177" 2 8 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"178" 2 8 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"179" 2 8 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"180" 2 8 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"181" 2 8 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"182" 2 9 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"183" 2 9 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"184" 2 9 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"185" 2 9 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"186" 2 9 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"187" 2 9 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"188" 2 9 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"189" 2 9 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"190" 2 9 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"191" 2 9 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"192" 2 10 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"193" 2 10 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"194" 2 10 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"195" 2 10 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"196" 2 10 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"197" 2 10 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"198" 2 10 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"199" 2 10 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"200" 2 10 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"201" 2 10 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"202" 2 11 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"203" 2 11 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"204" 2 11 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"205" 2 11 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"206" 2 11 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"207" 2 11 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"208" 2 11 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"209" 2 11 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"210" 2 11 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"211" 2 11 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"212" 2 12 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"213" 2 12 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"214" 2 12 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"215" 2 12 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"216" 2 12 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"217" 2 12 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"218" 2 12 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"219" 2 12 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"220" 2 12 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"221" 2 12 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"222" 2 13 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"223" 2 13 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"224" 2 13 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"225" 2 13 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"226" 2 13 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"227" 2 13 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"228" 2 13 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"229" 2 13 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"230" 2 13 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"231" 2 13 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"232" 2 14 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"233" 2 14 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"234" 2 14 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"235" 2 14 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"236" 2 14 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"237" 2 14 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"238" 2 14 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"239" 2 14 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"240" 2 14 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"241" 2 14 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"242" 2 15 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"243" 2 15 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"244" 2 15 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"245" 2 15 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"246" 2 15 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"247" 2 15 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"248" 2 15 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"249" 2 15 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"250" 2 15 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"251" 2 15 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"252" 3 1 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"253" 3 1 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"254" 3 1 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"255" 3 1 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"256" 3 1 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"257" 3 1 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"258" 3 1 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"259" 3 1 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"260" 3 1 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"261" 3 1 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"262" 3 2 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"263" 3 2 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"264" 3 2 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"265" 3 2 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"266" 3 2 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"267" 3 2 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"268" 3 2 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"269" 3 2 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"270" 3 2 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"271" 3 2 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"272" 3 3 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"273" 3 3 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"274" 3 3 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
