"it" "im" "dep" "meth" "out"
"214" 2 5 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"215" 2 5 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"216" 2 5 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"217" 2 5 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"218" 2 5 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"219" 2 5 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"220" 2 5 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"221" 2 6 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"222" 2 6 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"223" 2 6 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"224" 2 6 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"225" 2 6 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
"226" 2 6 "Coparent_item3_Mother_Year5" "pmm" "Coparent_Total_Father"
"227" 2 6 "Coparent_item4_Mother_Year5" "pmm" "Coparent_Total_Father"
"228" 2 6 "Coparent_item5_Mother_Year5" "pmm" "Coparent_Total_Father"
"229" 2 6 "Coparent_item6_Mother_Year5" "pmm" "Coparent_Total_Father"
"230" 2 6 "Coparent_item7_Mother_Year5" "pmm" "Coparent_Total_Mother"
"231" 2 6 "Coparent_item8_Mother_Year5" "pmm" "Coparent_Total_Mother"
"232" 2 6 "Depression_item1_Father_Year5" "pmm" "Coparent_Total_Father"
"233" 2 6 "Coparent_Total_Mother" "pmm" "Coparent_Total_Father"
"234" 2 6 "Coparent_Total_Father" "pmm" "Coparent_Total_Mother"
"235" 2 7 "Coparent_item3_Father_Year5" "pmm" "Coparent_Total_Mother"
"236" 2 7 "Coparent_item4_Father_Year5" "pmm" "Coparent_Total_Mother"
"237" 2 7 "Coparent_item5_Father_Year5" "pmm" "Coparent_Total_Mother"
"238" 2 7 "Coparent_item6_Father_Year5" "pmm" "Coparent_Total_Mother"
"239" 2 7 "Coparent_item7_Father_Year5" "pmm" "Coparent_Total_Father"
